gen,max,mean,std 
0,87.13935834262664,10.412679881080765,32.267230194797385
1,86.92586946817495,3.279540347369643,21.0191845020816
2,86.51041085661014,6.027408512457503,27.025368880332845
3,87.98443510891829,28.95959895543165,40.20833270702732
4,91.19598249381269,31.24640478953461,39.63330437638945
5,91.01075241723566,34.33829245665739,36.42066859961001
6,87.13935834262664,41.9207850905589,36.04120517196294
7,89.0822642182204,33.61045601273914,40.65919060155077
8,87.13935834262664,51.13882071676774,38.66155101454384
9,87.13935834262664,51.77115762795792,40.1272161286253
10,87.17185751001959,61.94440821576654,37.87930570805426
11,87.13935834262664,71.11934584830752,27.741699874634268
12,87.49935834262664,81.12177178561797,17.26914634025978
13,87.40586946817496,76.79306758320426,24.08227688777389
14,88.84290651349463,67.1855469744597,34.09867333396418
