gen,max,mean,std 
0,87.13935834262664,4.6937090996925255,27.565492464001192
1,87.42698639161588,16.601213959209808,36.09803076494266
2,87.55003982910277,19.100647444211578,33.40465431277088
3,87.15399989261958,35.73850634285939,41.86824273084449
4,90.54990021702646,45.348905775096185,41.40422189132555
5,87.7561129328935,60.047569902196514,37.47688246939522
6,90.10951855242155,65.84231234603264,34.347247645819415
7,90.00322890233346,69.3054509327746,31.508401761039185
8,89.83703951986408,41.96917564486464,35.05264869320554
9,90.44669517527555,56.27797825828378,34.79104429322813
10,89.28324619773176,45.89134122042804,36.31654388774529
11,89.34324619773176,71.65918204887853,27.68413510679701
12,89.59968822339262,61.393926558951115,32.507014783627454
13,89.9666105112725,78.34079625966909,23.021908133528736
14,90.20661051127252,67.98452894403347,34.07655717640658
