gen,max,mean,std 
0,12.250607014091747,-4.697856165380474,3.907957507787336
1,86.61196501081939,5.594796337492211,27.573467797765385
2,87.13935834262664,20.465863148066877,36.31982346649121
3,87.13935834262664,43.170867730100596,43.62680725373208
4,87.13935834262664,57.526025571797504,40.31862265505837
5,87.19935834262662,77.86717474428193,23.57111709447035
6,87.19935834262662,74.10195626480004,27.011876277843765
7,89.8135479947156,75.16817545239066,27.87062600707073
8,87.53788162462297,64.81983779570733,34.22114833174078
9,87.19935834262662,71.02314518204162,31.982452579831648
10,87.19935834262662,76.71137146498378,26.032347438958848
11,87.19935834262662,82.6352557227253,18.157173204214022
12,87.20628484395722,81.15882366916784,17.195143705073473
13,87.20628484395722,74.45682587647252,27.945342298835914
14,87.20628484395722,76.75151633083972,25.250245952674053
