gen,max,mean,std 
0,86.78645195372293,5.749447675286332,21.47123056712008
1,87.14811752271652,14.530902062780777,31.59611959538015
2,87.14811752271652,41.08099019425886,38.11168433377444
3,87.14811752271652,40.29447862008078,39.75268921419784
4,87.35788162462296,38.36601997049824,37.94782942023081
5,87.31935834262663,37.01088532963371,41.46464700077516
6,87.31935834262663,48.105546682946255,41.200199117489234
7,87.31935834262663,47.828936729550804,39.799118925662576
8,88.7335479947156,64.21962918965438,35.32705727074256
9,88.7335479947156,79.1366553930088,23.869594005823316
10,89.89968822339262,87.35282100034023,0.8967385641212899
11,90.3266105112725,85.6842887445786,8.67496577561817
12,90.3266105112725,88.4963246460035,1.096200372867544
13,90.3266105112725,89.20020905867946,0.39908658304124717
14,90.3266105112725,89.47616909767433,0.4829645464401
