gen,max,mean,std 
0,90.22027017401382,8.891937919813744,26.988273056811362
1,91.2252886203982,21.359075737870207,34.805160504545
2,92.54303304199814,44.390487988112696,41.9034764977952
3,92.54303304199814,69.04343815349964,35.27118071798638
4,90.42687189361196,79.18732877673224,24.937580206702776
5,93.73109579777977,84.40009088396111,20.896643636123965
6,93.93679627126203,82.18089770000041,25.537573629107886
7,93.93679627126203,68.41879456810176,37.1927736188234
8,94.01859563501554,75.37221030163074,31.58352550525403
9,94.01859563501554,80.59660046423892,25.750670840370848
10,94.01859563501554,85.84001833868773,15.381563841316524
11,94.01859563501554,86.84549590737554,15.803069720089304
12,94.01859563501554,92.2185465576224,1.79759349898594
13,94.01859563501554,89.12310333156725,13.821239328994437
14,94.14965087177825,87.61165844353252,16.209796325269362
