gen,max,mean,std 
0,91.45873645484157,7.639825404826323,27.798954233315467
1,91.45873645484157,16.243505265870237,31.40703729327506
2,91.45873645484157,43.46313232723436,36.20526348658938
3,91.45873645484157,70.26429778218416,18.57188033978837
4,91.57237888630937,59.06837945659125,34.524111403589906
5,91.85873645484158,53.8018616595145,36.83483101591786
6,91.85873645484158,78.33919644791544,25.284223187527864
7,91.85873645484158,81.38665731223868,21.17349305335284
8,91.93357331188756,76.45019664801785,23.19281516117309
9,91.93357331188756,90.55207980775722,5.403136262267884
10,92.03931836898447,91.03803333879496,3.6257623723574444
11,92.03931836898447,91.81551431222124,0.14829403030395616
12,92.03931836898447,91.02131922873392,3.6233398870312525
13,92.03931836898447,91.85144557118902,0.1523021258639879
14,92.03931836898447,91.06919999014937,3.6334886895642313
