gen,max,mean,std 
0,30.711732969305466,-3.9961591368298057,7.968150284851911
1,67.04417294239875,6.202276630990061,20.83249225672552
2,75.90624979919323,14.424723666611092,24.371043767406086
3,91.84317193830047,31.67322113616516,32.80024547287154
4,91.84317193830047,50.03543830330686,36.61499971688338
5,91.85873645484158,55.800983230448445,38.99682971032197
6,91.93357331188756,74.01446759952603,27.7994775177776
7,92.53357331188757,77.2617013051013,31.683034985020875
8,92.56956207860756,77.06375553067889,30.243882614015824
9,92.56956207860756,83.77634750747859,22.285997559534234
10,92.56956207860756,79.9845185793697,24.769159445118646
11,92.56956207860756,81.48559068396611,23.481047658437426
12,92.56956207860756,80.28563379854633,28.08594725123534
13,92.56956207860756,82.23504953075465,23.993905258064117
14,92.64317193830047,81.88758512667036,24.580776786814774
