gen,max,mean,std 
0,84.92700044143626,7.934133343689328,27.261891935438662
1,87.11936107665801,18.118556258785354,31.45845413085762
2,91.00278772623588,42.98487813206275,36.32019318827324
3,91.60150296873417,58.1231272781536,35.852951514586735
4,91.60150296873417,66.54258457524205,27.74434022728157
5,91.60150296873417,59.55502434998738,40.25157609753321
6,91.60150296873417,79.79123328506401,22.53730799728197
7,91.60150296873417,76.9952134191908,23.53249417496419
8,92.56956207860756,75.83448828149865,28.892918492541238
9,91.87274631484279,70.43309384353917,30.323990670514917
10,91.5959933129232,82.31902460876917,12.066071663665113
11,92.49405452609942,85.07814535373305,9.209266915019281
12,92.49405452609942,79.35056794540995,22.69414760284154
13,92.5001335721758,80.25428587505968,20.264639889206006
14,92.5001335721758,74.5745162289391,24.529821134316784
