gen,max,mean,std 
0,75.5619206910768,1.3601079967453917,21.86160513026091
1,75.5619206910768,2.036754808050538,23.12199040390929
2,89.79605369405454,4.491643282888888,26.110866416939494
3,89.79605369405454,26.206672435462792,39.28733001672773
4,91.93357331188756,63.91047486427713,36.985644521396075
5,92.57237888630937,61.77160046229991,35.62102015792439
6,91.85873645484158,60.93285269652974,33.25692631655865
7,92.04317193830046,68.734295515794,38.007878696415176
8,92.25873645484157,76.52451898796555,25.9841493397684
9,92.04317193830046,82.81187238142122,18.760662281613513
10,92.34041448585583,78.82382103304795,22.657862665232198
11,92.44317193830047,82.13087501266617,23.509229468912924
12,92.44317193830047,75.92856205874952,29.15943349961075
13,92.53357331188757,88.89466644046043,10.01515606854414
14,92.53357331188757,68.6434280921508,32.332097783862956
