gen,max,mean,std 
0,89.79605369405454,10.983780017563124,31.250157525882546
1,89.79605369405454,19.487453549137093,32.06607755250368
2,90.32482618476618,23.729848000062848,36.257081602312326
3,90.32482618476618,41.592516726471615,34.82900754334496
4,91.72482618476617,62.801985459395326,26.475686023994538
5,92.16355803717006,74.99031739751787,19.02230321789012
6,92.16355803717006,81.81393345982664,13.40929617745444
7,92.16355803717006,71.80289880796593,31.31834996659723
8,92.51240366476762,80.56650349497343,24.95300493952542
9,92.57611947915372,90.19783367482935,5.438032292146109
10,92.57611947915372,85.1761508550239,14.402177485257845
11,92.56956207860756,82.10554006261631,24.574743012451627
12,92.51240366476762,82.8153939768819,22.590838457335693
13,92.57611947915372,87.87070165570657,8.023155338099048
14,92.57611947915372,90.86058065619078,5.558202381783339
