gen,max,mean,std 
0,90.32482618476618,19.610674161864928,30.40965378504572
1,92.34250462797222,35.41352209733367,39.554992340319934
2,92.34250462797222,47.54367326173105,37.71547475232941
3,92.34250462797222,56.61684628518488,31.720440210670077
4,92.34250462797222,74.51297565796824,29.1091511764981
5,92.34250462797222,81.61147865713954,17.778978728650184
6,92.34250462797222,65.08733633422878,37.15884045045051
7,92.34250462797222,83.67383841266621,23.490189528651072
8,92.34250462797222,75.07760180887911,28.13654093472207
9,91.93357331188756,85.60907579888,21.550696484387593
10,91.93357331188756,75.59547299206356,34.6394926517847
11,92.06728120673463,79.7440079595111,22.354394614699633
12,92.06728120673463,87.16455084388542,19.193106876874563
13,92.06728120673463,71.61863845501026,31.17694080175062
14,92.06728120673463,76.62119001586788,30.782924108656882
