gen,max,mean,std 
0,84.84451856747526,1.4556477751032477,19.53116390593599
1,88.94518926293742,13.138447306322874,31.257333812670044
2,90.92772932632856,44.975572074691094,40.8371404954459
3,90.92772932632856,36.21175399506426,40.93742062543669
4,90.92772932632856,37.205963749577116,42.89161868786813
5,90.92772932632856,42.331808444424574,43.25216930654255
6,90.92772932632856,33.202229080704726,39.97923341512422
7,90.92772932632856,45.131741581711495,38.19075251659519
8,90.92772932632856,43.06484669107264,42.20594463709191
9,91.34772932632856,60.36035829618591,34.5036139241348
10,91.34772932632856,60.77687596474194,32.44578250184307
11,91.34772932632856,62.81294360794659,34.71900598972674
12,90.69853908213778,77.83511724681003,23.640125945478346
13,90.9385390821378,63.444882269239294,33.31165147635055
14,90.9385390821378,72.23654139271716,27.384748987239913
