gen,max,mean,std 
0,93.79719807741364,2.8344703593631517,21.06829800409866
1,56.25224472101789,3.237636238283367,13.032249038339346
2,93.02835394814497,16.899746751677235,30.151405000329248
3,91.11853908213779,28.22603344764529,36.37645630917953
4,91.11853908213779,42.55732814911137,38.331000241650166
5,92.72200618758326,70.68242897798663,33.041763678639306
6,93.26168263345198,67.84803854773581,37.873157600102914
7,93.26168263345198,62.2820542390667,43.575646530608864
8,93.93679627126203,79.83759309505739,29.762846792436335
9,93.93679627126203,82.82292157520875,26.71273629412862
10,93.93679627126203,81.55810686213805,25.785061727781898
11,93.93679627126203,84.31749148727751,21.406347394194242
12,93.93679627126203,84.65678541272072,21.973359707273747
13,93.93679627126203,83.86610514112776,25.214045240049956
14,93.93679627126203,87.79857653541033,20.323893993712904
