gen,max,mean,std 
0,92.55480889721518,10.184330871258291,26.05546903842722
1,92.55480889721518,19.10481317293987,31.16727637347469
2,92.55480889721518,34.03299567089526,36.74456747062828
3,92.91282822853991,39.10050782730015,40.76041780610537
4,93.3928282285399,55.91779185384529,33.05691698007952
5,93.50168263345198,70.04181734008327,30.57967421300378
6,93.0928282285399,65.84920726723618,36.92511792683614
7,93.93679627126203,81.17394786416051,26.984495958662478
8,94.91715536974009,86.80555597240532,21.22064896038904
9,94.91715536974009,74.82743974014382,35.15237060154351
10,94.91715536974009,88.65274416882843,15.843701350503633
11,94.91715536974009,80.15392319843042,30.769980772651532
12,93.93679627126203,62.15135253253633,41.08488183069177
13,93.93679627126203,78.50284756178792,29.94663463772453
14,93.93679627126203,78.56015037732055,32.60462459608793
