gen,max,mean,std 
0,12.615504937210911,0.30581159876925423,7.159865394359227
1,12.615504937210911,2.2300685768875947,6.465687707790918
2,86.95935834262663,6.863454737343083,19.3876310250682
3,88.70322164384199,9.167466702946637,19.55645477707852
4,89.47968822339261,14.334467773926931,25.67561832449646
5,88.00215773349193,15.010477068358892,24.849016622631513
6,88.00215773349193,31.807190123317827,36.7042123447351
7,88.00215773349193,35.13840668553716,35.74464099628869
8,89.23949082595733,58.8585087679146,33.430098317465905
9,89.84628484395722,41.209246540551426,31.84174055190923
10,89.84628484395722,58.176101395050736,31.855232089290936
11,90.48649699436176,66.34316189390681,33.956973670599275
12,90.48649699436176,72.18757797744122,29.077710284615453
13,90.48649699436176,74.64622582762716,30.065692413763887
14,90.48649699436176,86.48650087378265,11.109108003516276
