gen,max,mean,std 
0,21.210039829102747,-1.842069621707687,8.126183566997348
1,86.8130739740296,4.971411066697473,24.50399619437351
2,88.48788221052462,10.992526916195,30.415380971043355
3,92.15959913428287,28.322601287366616,35.4896493409284
4,91.63357331188759,35.41600856137609,41.895092475859926
5,87.72394224923465,47.036310501852896,39.70560089321539
6,89.5735479947156,64.66422228477326,35.959721528827224
7,87.53354799471559,66.25548602193155,35.60406031258195
8,87.29788162462296,50.82837290036993,38.62320633409389
9,91.16628484395721,54.908598861563085,40.42751026869072
10,87.65788162462296,68.29162220825624,33.54766875605506
11,89.40322890233347,62.588250627524666,32.67110728314976
12,89.34322890233346,74.41473013448129,28.848307110618382
13,87.65788162462296,78.33204688625761,25.14453604132328
14,89.8870404150784,74.50812719757741,30.02679191338042
