gen,max,mean,std 
0,87.13935834262664,4.874657881179826,25.357473461460835
1,87.13935834262664,13.30635921728199,31.485118235011594
2,87.51399989261958,26.141267345121086,36.7129645747778
3,88.09067522005317,41.136160127862084,38.15649114957098
4,87.13935834262664,34.046207037669454,38.67810076737833
5,87.51399989261958,50.516964249813796,41.581585940709786
6,87.35788162462296,48.60862147798474,38.866044454815935
7,87.29788162462296,68.42018444180873,32.85814911010586
8,90.98660195700339,71.56188998115795,31.028385706871425
9,87.16586946817496,72.34395352628114,27.9274295299541
10,87.1422695528341,61.6067138857176,38.462540569066206
11,87.73003982910276,63.054792694137575,37.229454826597575
12,87.38384284030168,76.54104984746598,26.381981879130333
13,87.47788162462297,67.84108316016102,34.0631347934249
14,87.51399989261958,50.01769560980925,41.30753612722137
