gen,max,mean,std 
0,85.0441626305352,5.693126777597043,25.013527902602895
1,86.12628484395722,3.962044541208738,20.520371699354666
2,90.57616819497443,28.850181431155402,38.46190557452435
3,87.51399989261958,30.664123207735866,41.52717300077975
4,87.31645558296867,45.453636395692925,41.896294595989225
5,87.1422695528341,35.027086824049704,40.5448409241901
6,87.51399989261958,48.63328905556777,42.5045556205516
7,90.55968822339261,48.13236540446702,43.39573893761617
8,87.53788162462297,57.225859495090205,38.78977539415656
9,87.19935834262662,67.18475635898196,35.23440304299324
10,87.51991706964768,73.65247026115028,27.193907383488394
11,87.41788162462296,65.46425652599488,37.01763304584795
12,87.5561748176703,71.16596986487313,31.700976935229527
13,87.52288884003683,66.20150204090905,36.095190001646095
14,87.51399989261958,71.15490570472387,31.60782219754146
