gen,max,mean,std 
0,3.721885340769483,-3.761580464610577,3.6110180615984855
1,86.55196501081939,3.529570495415426,21.671545456248175
2,87.13935834262664,10.333188055437446,32.44061602656169
3,86.12628484395722,10.293405741194341,27.47365017471887
4,86.03858578874555,11.074588275436085,28.998350959406995
5,87.13935834262664,26.015167768291143,36.991022727857924
6,87.59788162462297,53.9664144823837,41.21282781327853
7,87.35788162462296,53.910406610546644,35.71162344093254
8,90.09057091248862,49.02017373029448,39.796802781289905
9,88.39067522005317,52.38913475730493,40.24351275913321
10,87.69399989261957,73.88461320308443,30.899126886512995
11,90.00693855665948,60.05853450293856,37.734611062129225
12,91.04628484395722,59.56109848763016,36.30425358543163
13,88.43788162462296,65.45867930423212,37.066094504909856
14,89.72645195372294,62.811160079187324,35.4204817583754
