gen,max,mean,std 
0,87.13935834262664,5.702555483445325,24.02617864426893
1,87.12779752022556,9.39677442738897,25.28790291333606
2,87.01935834262663,14.133527605644224,33.47915114400576
3,89.83968822339261,32.33232054989278,41.52284971126431
4,89.83968822339261,35.03539464332435,37.82497871916475
5,89.83968822339261,65.98542281930081,31.112851689800557
6,88.4822642182204,69.23587830507928,32.26490028106931
7,88.75067522005317,57.56404615920995,38.15941081719806
8,88.75067522005317,62.02704836012803,35.65054275567245
9,91.21641489804765,45.614369115372305,41.113262320857
10,88.75067522005317,67.95724155113955,31.326180292032358
11,87.85935834262663,71.03284662400377,32.761642845609416
12,87.85935834262663,73.61981819906279,30.34234271427393
13,88.72885900702333,49.673917251185564,42.33001181328542
14,88.72885900702333,70.14938114764115,33.456796918554026
