gen,max,mean,std 
0,86.33574420258549,6.299475832331906,27.36136531535847
1,86.5441626305352,11.507783702648497,29.299276171465277
2,87.52586946817496,27.77797212394223,33.73095365027546
3,87.52586946817496,36.451473086029935,37.787117970177526
4,87.5222642182204,34.69388676855506,39.6405381570873
5,87.53185751001959,48.10258095840423,36.7706436097242
6,88.99968822339261,46.56988308208601,44.79384721974328
7,88.33067522005318,46.3891855288728,42.65117887016016
8,87.7622642182204,61.644578974951784,36.602135572508885
9,87.26234767677737,62.097195339807456,35.69531934450652
10,87.26234767677737,79.77686977448823,22.16293662542936
11,87.59788162462297,82.64331930268122,18.25039310443273
12,87.26234767677737,75.73803476043521,27.304143810863533
13,87.35788162462296,70.38484785158339,29.66472412394779
14,87.35788162462296,77.91698422471208,22.517589721052776
