gen,max,mean,std 
0,89.79605369405454,5.3209762278322295,26.12041946355494
1,89.79605369405454,28.65656542483589,39.064091882696246
2,91.84317193830047,49.28143890703718,36.52623133088745
3,90.32482618476618,50.139085527216224,33.82857644989349
4,90.32482618476618,65.04876991966839,28.679589618069507
5,90.32482618476618,73.85848313183372,27.121525762995557
6,90.32482618476618,75.40788737371925,28.552242010248452
7,90.32482618476618,73.89338213682808,28.32108999863419
8,90.32482618476618,84.32583230971215,17.412439762815033
9,90.32482618476618,86.48075033870592,8.237720102537569
10,91.72482618476617,75.26190903598861,19.635804261372567
11,92.5001335721758,86.47183388534881,8.913831268069435
12,92.5001335721758,89.86108018842374,5.522175221909745
13,92.5001335721758,89.51307833598082,6.313092439096547
14,92.5001335721758,91.5805013435854,1.208686708536696
