gen,max,mean,std 
0,93.99639337829167,17.35729230670238,35.21258072859793
1,93.93679627126203,20.61875238951441,33.30318118683237
2,93.54472159231585,52.33366531321231,40.611640210627016
3,94.08420156294974,56.71956603809373,40.38934627041247
4,93.78472159231585,72.17328255783025,35.88381986282112
5,93.93679627126203,69.92102239747899,37.99705127309573
6,93.93679627126203,88.14368713582033,17.637932499642677
7,93.93679627126203,79.09837084174413,29.592418489142194
8,93.93679627126203,87.9498508255198,21.553603759578536
9,93.93679627126203,82.07555057303676,25.23778988319662
10,93.93679627126203,70.29188203296881,39.11149965807907
11,93.93679627126203,74.5209564844439,36.218764374379234
12,93.93679627126203,84.63672142848512,23.683611684834283
13,93.93679627126203,88.3583941877491,19.796741227100256
14,93.93679627126203,81.41726162570076,29.53701931799387
